"Алфавит годвийского кваягодвиана","","","",""
"44 знака · годвийский алфавит","","","",""
"№","Знак","Русская транскрипция","МФА транскрипция","English transcription"
"1","ⵅ","['ал]","[al]","['al]"
"2","ⵙ","[ох]","[ox]","[okh]"
"3","ⵡ","[ма]","[ma]","[ma]"
"4","ⵉ","[в]","[v]","[v]"
"5","ⵛ","[чь]","[tɕ]","[tch]"
"6","ⵍ","[и]","[i]","[ee]"
"7","ⴰ","[ьп]","[j͜p]","[yp]"
"8","ⵕ","[ум]","[um]","[um]"
"9","⵰","[ом]","[om]","[om]"
"10","ⵎ","[ыхт]","[ɨχt]","[ycht]"
"11","ⵂ","[лаг]","[lag]","[lag]"
"12","ⵊ","[йм]","[jm]","[ym]"
"13","ⴳ","[э]","[ɛ]","[eh]"
"14","ⵥ","[кын]","[kɨn]","[kyn]"
"15","ⵜ","[жыщ]","[ʐɨɕ]","[zhyshch]"
"16","ⵐ","[жащ]","[ʐaɕ]","[zhashch]"
"17","ⵗ","[ах]","[ax]","[akh]"
"18","ⵖ","[йей]","[jej]","[yey]"
"19","ⴾ","[ай]","[aj]","[ay]"
"20","ⴼ","[оух]","[oʊ̯x]","[oukh]"
"21","ⵢ","[йутф]","[jutf]","[yutf]"
"22","ⴹ","[йеко]","[jeko]","[yeko]"
"23","ⴷ","[дь'е]","[djjɛ]","[dye]"
"24","ⵟ","[дэг]","[dɛg]","[deg]"
"25","ⵔ","[мет]","[met]","[met]"
"26","ⵀ","[хэл]","[xɛl]","[khel]"
"27","ⴲ","[го]","[ɡo]","[go]"
"28","ⴱ","[ной]","[noj]","[noy]"
"29","ⵃ","[чен]","[tɕen]","[tchen]"
"30","ⵈ","[уд]","[ud]","[ud]"
"31","ⵓ","[фык]","[fɨk]","[fyk]"
"32","ⴴ","[бок]","[bok]","[bok]"
"33","ⴽ","[сэ]","[sɛ]","[seh]"
"34","ⵌ","[уайя]","[uaja]","[uayya]"
"35","ⵇ","[мы]","[mɨ]","[my]"
"36","ⴻ","[дыв]","[dɨv]","[dyv]"
"37","ⴿ","[эхо]","[ɛxo]","[ekho]"
"38","ⵣ","[аз]","[az]","[az]"
"39","ⵄ","[фуг]","[fug]","[fug]"
"40","ⵝ","[ан]","[an]","[an]"
"41","ⵒ","[ябь]","[jabj]","[yab]"
"42","ⵠ","[дета]","[deta]","[deta]"
"43","ⴸ","[дог]","[dog]","[dog]"
"44","ⵚ","[йепо]","[jepo]","[yepo]"
